date,Ndtct,Npct_75,PctRH_75,Npct_50,PctRH_50,Npct_25,PctRH_25,Nfit,SumRH,MaxRH,Tmin,Tavg,Tmax,Temp_BB,Area_BB,Lat,Lon,SATZ
2013-06-01 22:35:46.903,3,1,56.7154,1,56.7154,2,77.1006,3,77.79759,56.7154,1782.0,2002.66666666667,2145.0,1782.0,99.1094,45.162277,37.878307,57.5528
2013-06-01 22:35:48.682,6,1,47.3822,1,47.3822,1,47.3822,4,59.11906,47.3822,0.0,1956.0,2133.0,1793.0,80.9115,45.157196,37.879131,57.5321
2013-06-02 00:16:15.064,2,1,24.6302,1,24.6302,1,24.6302,2,25.258258,24.6302,1798.0,1969.0,2140.0,1798.0,41.5388,45.160404,37.880604,52.8689
2013-06-02 22:16:47.658,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.165295,37.787914,67.4577
2013-06-02 23:57:31.833,7,1,6.33361,1,6.33361,1,6.33361,2,7.62066,6.33361,0.0,1819.5,1880.0,1880.0,8.94988,45.160576,37.880104,37.4434
2013-06-03 23:38:45.048,2,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.151947,37.880001,14.637
2013-06-04 23:19:54.705,2,1,21.7443,2,37.8863,2,37.8863,2,37.8863,21.7443,1763.0,1807.0,1851.0,1851.0,32.6745,45.160221,37.886799,13.1706
2013-06-04 23:19:56.484,2,1,20.5346,1,20.5346,1,20.5346,2,20.812849,20.5346,1806.0,1934.5,2063.0,1806.0,34.0381,45.157845,37.879696,13.1018
2013-06-05 23:01:02.579,2,2,47.5495,2,47.5495,2,47.5495,2,47.5495,23.8577,1848.0,1870.5,1893.0,1848.0,36.0477,45.161884,37.87677,36.969
2013-06-06 00:41:05.831,4,1,48.1076,1,48.1076,2,68.0029,3,69.98922,48.1076,0.0,1821.33333333333,1915.0,1721.0,96.7484,45.158051,37.875179,65.8462
2013-06-06 00:41:07.610,5,1,74.3488,2,115.0626,2,115.0626,3,116.40911,74.3488,0.0,2003.0,2286.0,1899.0,100.725,45.15522,37.884472,65.8766
2013-06-06 22:42:06.894,4,2,3.55056,2,3.55056,2,3.55056,2,3.55056,1.98099,0.0,1843.0,1925.0,1925.0,2.54599,45.159622,37.884159,53.4342
2013-06-07 22:23:07.647,11,2,65.391,2,65.391,2,65.391,2,65.391,37.2762,0.0,1908.5,1960.0,1857.0,55.3207,45.157627,37.872017,64.5127
2013-06-08 00:03:46.483,2,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1436845,37.9241775,43.3948
2013-06-08 23:44:59.688,25,1,0.429748,1,0.429748,2,0.589019,2,0.589019,0.429748,0.0,2218.5,2476.0,1961.0,0.512767,45.159447,37.889984,23.1704
2013-06-08 23:45:01.467,25,2,0.861407,3,1.124382,4,1.284811,4,1.284811,0.453358,0.0,2124.5,2495.0,1863.0,0.663588,45.15329,37.891975,23.1679
2013-06-09 23:26:11.112,2,1,32.7517,1,32.7517,1,32.7517,2,33.41433,32.7517,1836.0,1947.0,2058.0,1836.0,50.8728,45.162079,37.884705,4.0823
2013-06-09 23:26:12.891,2,2,0.825243,2,0.825243,2,0.825243,2,0.825243,0.457131,1911.0,1964.5,2018.0,1911.0,0.604688,45.157326,37.876438,4.00888
2013-06-10 23:07:20.763,2,1,26.5812,2,42.2224,2,42.2224,2,42.2224,26.5812,1790.0,1863.5,1937.0,1790.0,45.6357,45.161438,37.876102,29.928
2013-06-11 00:47:18.678,6,1,49.4894,1,49.4894,2,70.7111,6,86.208,49.4894,1797.0,1945.66666666667,2175.0,1906.0,66.1022,45.167133,37.885616,68.2491
2013-06-11 22:48:25.084,16,4,4.44484,6,5.873678,9,7.067334,9,7.067334,1.21068,0.0,2006.33333333333,2361.0,1811.0,1.98306,45.1633565,37.8775405,48.8722
2013-06-12 00:28:40.791,10,1,40.2585,1,40.2585,1,40.2585,4,52.35573,40.2585,0.0,1891.0,1963.0,1821.0,64.5791,45.162048,37.882053,60.1448
2013-06-12 22:29:25.848,4,2,82.0765,2,82.0765,2,82.0765,3,82.865006,44.8902,0.0,2033.33333333333,2269.0,1916.0,58.6948,45.159847,37.873795,61.2913
2013-06-12 22:29:27.627,3,1,64.0362,1,64.0362,1,64.0362,3,78.7347,64.0362,1635.0,1866.66666666667,2124.0,1841.0,98.2736,45.163174,37.880177,61.262
2013-06-13 00:09:59.347,5,1,21.0712,2,31.8035,2,31.8035,4,33.243742,21.0712,0.0,1898.5,2088.0,1736.0,40.9387,45.165421,37.878216,48.284
2013-06-13 22:10:24.832,4,1,55.8055,1,55.8055,2,79.5932,2,79.5932,55.8055,0.0,1885.5,2024.0,2024.0,58.6222,45.164986,37.882404,69.9796
2013-06-13 22:10:26.611,4,1,64.5004,2,96.8717,2,96.8717,2,96.8717,64.5004,0.0,1873.5,1925.0,1822.0,103.186,45.165096,37.871296,69.9865
2013-06-13 23:51:14.345,2,1,0.626908,1,0.626908,1,0.626908,1,0.626908,0.626908,0.0,1917.0,1917.0,1917.0,0.818339,45.16658,37.88802,30.4516
2013-06-13 23:51:16.125,3,1,36.1833,1,36.1833,1,36.1833,3,39.044024,36.1833,1826.0,1947.0,2079.0,1826.0,57.3396,45.160473,37.878506,30.5144
2013-06-15 23:13:37.212,27,5,4.172311,9,6.540647,16,9.147476,18,9.603619,0.999321,0.0,2002.83333333333,2190.0,1877.0,1.41997,45.152271,37.87582,22.2238
2013-06-16 22:54:43.303,9,1,2.64589,2,4.42291,4,5.926123,5,6.192705,2.64589,0.0,1891.2,2238.0,1856.0,3.93267,45.157372,37.881287,43.3948
2013-06-17 00:34:51.891,5,1,5.99881,2,10.40864,2,10.40864,2,10.40864,5.99881,0.0,1934.0,1970.0,1898.0,8.14379,45.162804,37.878235,63.1051
2013-06-17 00:34:53.670,10,1,16.3822,1,16.3822,2,22.86652,6,30.91385,16.3822,0.0,1885.83333333333,2088.0,1868.0,23.7266,45.155293,37.882332,63.1352
